	SignatureCluster	VersoCluster	UMAPgroup	nClonal	nMinor
SRR11577987	SC#4	C13	2	9	6
SRR11577988	NA	C08	3	11	0
SRR11577991	SC#2	C10	3	11	240
SRR11577993	SC#4	C09	6	9	2
SRR11577994	SC#2	C13	1	8	316
SRR11577995	SC#2	C03	0	3	233
SRR11577996	SC#2	C04	0	4	145
SRR11577997	SC#2	C03	0	13	223
SRR11577998	SC#2	C04	1	6	242
SRR11577999	NA	C01	4	9	0
SRR11578000	SC#2	C13	1	12	157
SRR11578001	SC#2	C10	7	12	56
SRR11578002	SC#2	C10	7	11	45
SRR11578003	SC#4	C10	4	12	2
SRR11578004	SC#2	C13	1	12	233
SRR11578005	SC#2	C02	1	7	90
SRR11578007	SC#2	C13	1	9	228
SRR11578008	SC#2	C01	2	9	162
SRR11578009	SC#2	C09	6	11	26
SRR11578010	SC#4	C09	7	8	3
SRR11578011	SC#4	C10	0	10	3
SRR11578012	SC#4	C02	2	8	7
SRR11578013	SC#2	C09	1	7	67
SRR11578014	SC#4	C02	0	7	1
SRR11578015	SC#3	C10	3	10	41
SRR11578016	SC#4	C13	12	10	1
SRR11578017	SC#4	C09	6	9	3
SRR11578019	NA	C06	6	13	0
SRR11578021	SC#4	C10	0	10	6
SRR11578022	SC#4	C13	11	10	10
SRR11578023	SC#4	C09	13	11	1
SRR11578025	SC#4	C13	3	10	6
SRR11578026	SC#3	C10	10	14	17
SRR11578028	SC#1	C13	8	12	3008
SRR11578029	SC#1	C09	11	9	2426
SRR11578030	SC#1	C09	11	8	1254
SRR11578031	SC#1	C10	2	14	1602
SRR11578033	SC#4	C13	6	13	1
SRR11578034	SC#4	C03	6	4	1
SRR11578035	SC#4	C06	6	13	1
SRR11578036	NA	C01	4	7	0
SRR11578038	SC#4	C02	2	8	5
SRR11578039	SC#4	C10	12	12	2
SRR11578040	SC#2	C02	1	7	241
SRR11578041	SC#2	C02	1	8	71
SRR11578042	SC#4	C10	4	11	6
SRR11578043	SC#4	C04	0	6	18
SRR11578046	SC#4	C01	0	10	4
SRR11578047	SC#2	C10	2	9	91
SRR11578048	SC#2	C04	0	5	202
SRR11578049	SC#2	C09	5	8	48
SRR11578050	SC#2	C09	5	8	41
SRR11578051	SC#2	C03	0	7	340
SRR11578052	SC#2	C12	4	8	25
SRR11578053	SC#2	C06	9	9	87
SRR11578054	SC#2	C02	1	7	33
SRR11578055	SC#2	C02	1	8	34
SRR11578056	SC#2	C09	13	10	78
SRR11578057	NA	C13	2	12	0
SRR11578058	SC#2	C13	5	14	25
SRR11578059	SC#2	C09	13	9	104
SRR11578060	SC#2	C13	14	11	20
SRR11578062	SC#2	C13	6	10	95
SRR11578063	SC#4	C01	1	11	4
SRR11578064	SC#4	C09	6	11	1
SRR11578065	SC#3	C08	3	10	34
SRR11578066	SC#4	C09	8	9	9
SRR11578068	NA	C13	0	9	0
SRR11578069	SC#4	C09	0	7	2
SRR11578070	SC#4	C04	0	6	1
SRR11578071	SC#4	C09	4	7	5
SRR11578072	SC#4	C13	9	11	7
SRR11578073	SC#2	C13	1	11	184
SRR11578074	SC#4	C13	9	12	1
SRR11578075	SC#4	C12	5	13	1
SRR11578077	NA	C09	0	7	0
SRR11578078	SC#4	C10	0	10	5
SRR11578079	SC#3	C10	2	10	47
SRR11578080	SC#3	C09	4	6	94
SRR11578081	SC#4	C10	0	10	2
SRR11578082	SC#4	C13	2	8	7
SRR11578083	SC#4	C13	9	12	2
SRR11578084	NA	C10	12	12	0
SRR11578085	SC#4	C13	3	10	1
SRR11578086	NA	C10	12	12	0
SRR11578088	SC#2	C13	1	11	237
SRR11578089	SC#1	C11	0	8	185
SRR11578091	SC#1	C05	0	9	111
SRR11578093	SC#1	C13	16	11	941
SRR11578097	SC#4	C10	3	11	1
SRR11578098	SC#4	C11	0	10	1
SRR11578099	SC#2	C10	7	12	108
SRR11578100	SC#4	C06	7	12	2
SRR11578101	NA	C13	6	12	0
SRR11578102	SC#4	C13	2	8	4
SRR11578103	NA	C13	0	9	0
SRR11578104	SC#3	C01	1	9	13
SRR11578105	SC#4	C04	4	6	4
SRR11578106	SC#3	C04	4	5	117
SRR11578107	SC#4	C09	0	7	1
SRR11578108	SC#4	C13	11	11	2
SRR11578109	SC#4	C09	8	9	4
SRR11578110	NA	C07	1	9	0
SRR11578111	NA	C09	0	7	0
SRR11578113	NA	C07	1	9	0
SRR11578114	SC#4	C07	1	9	1
SRR11578115	SC#4	C04	4	7	5
SRR11578116	SC#4	C05	0	7	2
SRR11578117	SC#4	C13	11	9	3
SRR11578118	NA	C02	0	8	0
SRR11578119	SC#4	C10	5	12	2
SRR11578120	NA	C10	0	10	0
SRR11578121	SC#3	C09	8	8	31
SRR11578122	SC#4	C10	5	12	1
SRR11578123	SC#4	C02	0	9	1
SRR11578124	SC#4	C09	11	8	1
SRR11578125	SC#4	C01	1	10	10
SRR11578126	SC#4	C06	0	9	1
SRR11578127	SC#4	C04	0	6	1
SRR11578128	SC#4	C09	10	9	2
SRR11578129	SC#2	C13	3	10	46
SRR11578130	SC#4	C03	5	5	2
SRR11578131	NA	C13	3	10	0
SRR11578132	NA	C10	1	12	0
SRR11578133	SC#4	C04	4	7	6
SRR11578134	SC#2	C06	1	11	423
SRR11578136	SC#2	C10	3	10	243
SRR11578137	SC#2	C13	1	10	501
SRR11578138	SC#2	C09	3	9	363
SRR11578139	SC#2	C13	8	9	327
SRR11578140	SC#2	C10	2	9	329
SRR11578141	SC#2	C06	1	11	294
SRR11578142	SC#2	C13	1	8	248
SRR11578143	SC#2	C06	1	11	165
SRR11578144	SC#4	C10	1	12	3
SRR11578145	SC#2	C10	3	10	259
SRR11578146	SC#2	C09	3	2	150
SRR11578147	SC#2	C13	6	11	107
SRR11578148	SC#4	C09	5	9	10
SRR11578149	SC#2	C10	3	12	299
SRR11578150	SC#2	C10	3	15	152
SRR11578151	SC#2	C13	1	8	754
SRR11578152	SC#4	C13	1	9	4
SRR11578153	SC#2	C06	6	13	66
SRR11578154	SC#2	C13	4	12	62
SRR11578155	SC#2	C09	3	8	411
SRR11578156	SC#2	C06	1	7	129
SRR11578157	SC#2	C13	1	10	344
SRR11578159	SC#2	C04	1	4	359
SRR11578160	SC#2	C03	0	3	279
SRR11578161	SC#2	C13	1	11	335
SRR11578162	SC#2	C13	7	9	28
SRR11578163	SC#4	C13	15	11	1
SRR11578164	SC#2	C02	1	8	63
SRR11578166	SC#4	C11	2	10	2
